순서,운동이름,부위,운동기구,운동강도
1,Bulgarian Split Squat,Hips,Dumbbells,Advanced
2,Chest Press,Chest,Dumbbells,Intermediate
3,Diagonal Raise,Shoulders,Dumbbells,Intermediate
4,Elevated Glute Bridge,Hips,Dumbbells,Intermediate
5,Farmer's Carry,Full Body,Dumbbells,Intermediate
6,Front Raise,Shoulders,Dumbbells,Beginner
7,Front Squat,Legs ,Dumbbells,Intermediate
8,Goblet Squat,Legs ,Dumbbells,Intermediate
9,Hammer Curl,Arms,Dumbbells,Intermediate
10,Incline Chest Press,Chest,Dumbbells,Beginner
11,Incline Reverse Fly,Shoulders,Dumbbells,Beginner
12,Lateral Lunge,Legs,Dumbbells,Intermediate
13,Lateral Raise,Shoulders,Dumbbells,Beginner
14,Lunge,Legs,Dumbbells,Intermediate
15,Lying Chest Fly,Chest,Dumbbells,Intermediate
16,Lying Pullovers,Chest,Dumbbells,Intermediate
17,Offset Single-arm Chest Press,Chest,Dumbbells,Advanced
18,Renegade Row,Full Body,Dumbbells,Advanced
19,Reverse Lunge with Rotation,Legs,Dumbbells,Advanced
20,Rotational Overhead Press,Shoulders,Dumbbells,Advanced
21,Rotational Uppercut,Full Body,Dumbbells,Intermediate
22,Seated Biceps Curl,Arms,Dumbbells,Beginner
23,Seated Overhead Press,Shoulders,Dumbbells,Intermediate
24,Side-lying Arm Rolls,Shoulders,Dumbbells,Advanced
25,Single-arm Row,Back,Dumbbells,Intermediate
26,"Single-arm, Single-leg Romanian Dead Lift",Butt/Hips,Dumbbells,Advanced
27,Squat to Overhead Press,Full Body,Dumbbells,Advanced
28,Squat to Overhead Raise,Full Body,Dumbbells,Intermediate
29,Standing Shrug,Back,Dumbbells,Intermediate
30,Step-up,Legs,Dumbbells,Beginner
31,Suitcase Carry,Full Body,Dumbbells,Intermediate
32,Transverse Lunge,Hips,Dumbbells,Advanced
33,Triceps Extension,Arms,Dumbbells,Intermediate
34,Triceps Kickback,Arms,Dumbbells,Beginner
35,V-raise,Shoulders,Dumbbells,Beginner
36,Wrist Curl - Extension,Arms,Dumbbells,Beginner
37,Wrist Curl - Flexion,Arms,Dumbbells,Beginner
38,Wrist Supination & Pronation Exercises,Arms,Dumbbells,Beginner
39,Back Squat,Legs,Barbell,Advanced
40,Barbell Jammers,Full Body,Barbell,Advanced
41,Bent-over Row,Back,Barbell,Advanced
42,Bicep Curl,Arms,Barbell,Intermediate
43,Calf Raises,Legs,Barbell,Intermediate
44,Chest Press,Chest,Barbell,Beginner
45,Close-grip Bench Press,Arms,Barbell,Intermediate
46,Deadlift,Full Body,Barbell,Advanced
47,Forward Lunge,Legs,Barbell,Intermediate
48,Front Squat to Overhead Press,Full Body,Barbell,Advanced
49,Hang Clean,Full Body,Barbell,Advanced
50,Hip Bridge,Hips,Barbell,Intermediate
51,Hip Hinge,Hips,Barbell,Beginner
52,Lying Barbell Triceps Extensions,Arms,Barbell,Intermediate
53,Power Clean,Full Body,Barbell,Advanced
54,Push Jerk,Full Body,Barbell,Advanced
55,Push Press,Full Body,Barbell,Advanced
56,Reverse Bicep Curl,Arms,Barbell,Intermediate
57,Reverse Lunge,Hips,Barbell,Intermediate
58,Roll Out,Abs,Barbell,Advanced
59,Romanian Deadlift,Back,Barbell,Intermediate
60,Seated Shoulder Press,Shoulders,Barbell,Intermediate
61,Shrug,Back,Barbell,Intermediate
62,Snatch,Full Body,Barbell,Advanced
63,Standing Shoulder Press,Shoulders,Barbell,Advanced
64,Calf Raise,Legs,Weight Machines / Selectorized,Beginner
65,Glute Press,Hips,Weight Machines / Selectorized,Beginner
66,Lateral Shoulder Raise,Shoulders,Weight Machines / Selectorized,Beginner
67,Lying Hamstrings Curl,Hips,Weight Machines / Selectorized,Beginner
68,Seated Biceps Curl,Arms,Weight Machines / Selectorized,Beginner
69,Seated Cable Press,Chest,Weight Machines / Selectorized,Beginner
70,Seated Chest Press,Chest,Weight Machines / Selectorized,Beginner
71,Seated Close-Grip Chest Press,Arms,Weight Machines / Selectorized,Beginner
73,Seated Decline Cable Press,Chest,Weight Machines / Selectorized,Beginner
74,Seated High Back Rows,Back,Weight Machines / Selectorized,Beginner
75,Seated Incline Cable Press,Chest,Weight Machines / Selectorized,Beginner
76,Calf Raise,Legs,Weight Machines / Selectorized,Beginner
77,Glute Press,Hips,Weight Machines / Selectorized,Beginner
78,Lateral Shoulder Raise,Shoulders,Weight Machines / Selectorized,Beginner
79,Lying Hamstrings Curl,Hips,Weight Machines / Selectorized,Beginner
80,Seated Biceps Curl,Arms,Weight Machines / Selectorized,Beginner
81,Seated Cable Press,Chest,Weight Machines / Selectorized,Beginner
82,Seated Chest Press,Chest,Weight Machines / Selectorized,Beginner
83,Seated Close-Grip Chest Press,Chest,Weight Machines / Selectorized,Beginner
84,Seated Crunch,Abs,Weight Machines / Selectorized,Beginner
85,Seated Decline Cable Press,Chest,Weight Machines / Selectorized,Beginner
86,Seated High Back Rows,Back,Weight Machines / Selectorized,Beginner
87,Seated Incline Cable Press,Chest,Weight Machines / Selectorized,Beginner
